date,home_team,away_team,team,scorer,minute
1/9/2015,Australia,Kuwait,Kuwait,Hussain Fadhel,8
1/9/2015,Australia,Kuwait,Australia,Tim Cahill,33
1/9/2015,Australia,Kuwait,Australia,Massimo Luongo,45
1/9/2015,Australia,Kuwait,Australia,Mile Jedinak,62
1/9/2015,Australia,Kuwait,Australia,James Troisi,90
1/10/2015,Saudi Arabia,China PR,China PR,Yu Hai,81
1/10/2015,South Korea,Oman,South Korea,Cho Young-cheol,45
1/10/2015,Uzbekistan,North Korea,Uzbekistan,Igor Sergeev,62
1/11/2015,Iran,Bahrain,Iran,Ehsan Hajsafi,45
1/11/2015,Iran,Bahrain,Iran,Masoud Shojaei,71
1/11/2015,United Arab Emirates,Qatar,Qatar,Khalfan Ibrahim,23
1/11/2015,United Arab Emirates,Qatar,United Arab Emirates,Ahmed Khalil,37
1/11/2015,United Arab Emirates,Qatar,United Arab Emirates,Ahmed Khalil,52
1/11/2015,United Arab Emirates,Qatar,United Arab Emirates,Ali Mabkhout,56
1/11/2015,United Arab Emirates,Qatar,United Arab Emirates,Ali Mabkhout,90
1/12/2015,Japan,Palestine,Japan,Yasuhito Endō,8
1/12/2015,Japan,Palestine,Japan,Shinji Okazaki,25
1/12/2015,Japan,Palestine,Japan,Keisuke Honda,43
1/12/2015,Japan,Palestine,Japan,Maya Yoshida,49
1/12/2015,Jordan,Iraq,Iraq,Yaser Kasim,77
1/13/2015,Australia,Oman,Australia,Matt McKay,27
1/13/2015,Australia,Oman,Australia,Robbie Kruse,30
1/13/2015,Australia,Oman,Australia,Mark Milligan,45
1/13/2015,Australia,Oman,Australia,Tomi Juric,70
1/13/2015,Kuwait,South Korea,South Korea,Nam Tae-hee,36
1/14/2015,China PR,Uzbekistan,Uzbekistan,Odil Ahmedov,23
1/14/2015,China PR,Uzbekistan,China PR,Wu Xi,54
1/14/2015,China PR,Uzbekistan,China PR,Sun Ke,68
1/14/2015,North Korea,Saudi Arabia,North Korea,Ryang Yong-gi,12
1/14/2015,North Korea,Saudi Arabia,Saudi Arabia,Naif Hazazi,37
1/14/2015,North Korea,Saudi Arabia,Saudi Arabia,Mohammad Al-Sahlawi,52
1/14/2015,North Korea,Saudi Arabia,Saudi Arabia,Mohammad Al-Sahlawi,54
1/14/2015,North Korea,Saudi Arabia,Saudi Arabia,Nawaf Al-Abed,76
1/15/2015,Bahrain,United Arab Emirates,United Arab Emirates,Ali Mabkhout,1
1/15/2015,Bahrain,United Arab Emirates,Bahrain,Jaycee John Okwunwanne,26
1/15/2015,Bahrain,United Arab Emirates,United Arab Emirates,Mohamed Husain,74
1/15/2015,Qatar,Iran,Iran,Sardar Azmoun,52
1/16/2015,Iraq,Japan,Japan,Keisuke Honda,23
1/16/2015,Palestine,Jordan,Jordan,Yousef Al-Rawashdeh,32
