HomeTeam,AwayTeam,Winner,Player,GoalTime
Australia,Kuwait,Kuwait,Hussain Fadhel,8
Australia,Kuwait,Australia,Tim Cahill,33
Australia,Kuwait,Australia,Massimo Luongo,45
Australia,Kuwait,Australia,Mile Jedinak,62
Australia,Kuwait,Australia,James Troisi,90
Saudi Arabia,China PR,China PR,Yu Hai,81
South Korea,Oman,South Korea,Cho Young-cheol,45
Uzbekistan,North Korea,Uzbekistan,Igor Sergeev,62
Iran,Bahrain,Iran,Ehsan Hajsafi,45
Iran,Bahrain,Iran,Masoud Shojaei,71
United Arab Emirates,Qatar,Qatar,Khalfan Ibrahim,23
United Arab Emirates,Qatar,United Arab Emirates,Ahmed Khalil,37
United Arab Emirates,Qatar,United Arab Emirates,Ahmed Khalil,52
United Arab Emirates,Qatar,United Arab Emirates,Ali Mabkhout,56
United Arab Emirates,Qatar,United Arab Emirates,Ali Mabkhout,90
Japan,Palestine,Japan,Yasuhito Endō,8
Japan,Palestine,Japan,Shinji Okazaki,25
Japan,Palestine,Japan,Keisuke Honda,43
Japan,Palestine,Japan,Maya Yoshida,49
Jordan,Iraq,Iraq,Yaser Kasim,77
Australia,Oman,Australia,Matt McKay,27
Australia,Oman,Australia,Robbie Kruse,30
Australia,Oman,Australia,Mark Milligan,45
Australia,Oman,Australia,Tomi Juric,70
Kuwait,South Korea,South Korea,Nam Tae-hee,36
China PR,Uzbekistan,Uzbekistan,Odil Ahmedov,23
China PR,Uzbekistan,China PR,Wu Xi,54
China PR,Uzbekistan,China PR,Sun Ke,68
North Korea,Saudi Arabia,North Korea,Ryang Yong-gi,12
North Korea,Saudi Arabia,Saudi Arabia,Naif Hazazi,37
North Korea,Saudi Arabia,Saudi Arabia,Mohammad Al-Sahlawi,52
North Korea,Saudi Arabia,Saudi Arabia,Mohammad Al-Sahlawi,54
North Korea,Saudi Arabia,Saudi Arabia,Nawaf Al-Abed,76
Bahrain,United Arab Emirates,United Arab Emirates,Ali Mabkhout,1
Bahrain,United Arab Emirates,Bahrain,Jaycee John Okwunwanne,26
Bahrain,United Arab Emirates,United Arab Emirates,Mohamed Husain,74
Qatar,Iran,Iran,Sardar Azmoun,52
Iraq,Japan,Japan,Keisuke Honda,23
Palestine,Jordan,Jordan,Yousef Al-Rawashdeh,32
Palestine,Jordan,Jordan,Hamza Al-Dardour,34
Palestine,Jordan,Jordan,Hamza Al-Dardour,45
Palestine,Jordan,Jordan,Hamza Al-Dardour,75
Palestine,Jordan,Jordan,Hamza Al-Dardour,79
Palestine,Jordan,Palestine,Jaka Ihbeisheh,84
Australia,South Korea,South Korea,Lee Jung-hyup,33
Burkina Faso,Gabon,Gabon,Pierre-Emerick Aubameyang,19
Burkina Faso,Gabon,Gabon,Malick Evouna,72
Equatorial Guinea,Congo,Equatorial Guinea,Emilio Nsue,16
Equatorial Guinea,Congo,Congo,Thievy Bifouma,87
Oman,Kuwait,Oman,Abdul Aziz Al-Muqbali,69
China PR,North Korea,China PR,Sun Ke,1
China PR,North Korea,China PR,Sun Ke,42
China PR,North Korea,North Korea,Gao Lin,57
Tunisia,Cape Verde,Tunisia,Mohamed Ali Manser,70
Tunisia,Cape Verde,Cape Verde,Héldon Ramos,78
Uzbekistan,Saudi Arabia,Uzbekistan,Sardor Rashidov,2
Uzbekistan,Saudi Arabia,Saudi Arabia,Mohammad Al-Sahlawi,60
Uzbekistan,Saudi Arabia,Uzbekistan,Vokhid Shodiev,71
Uzbekistan,Saudi Arabia,Uzbekistan,Sardor Rashidov,78
Zambia,DR Congo,Zambia,Given Singuluma,2
Zambia,DR Congo,DR Congo,Yannick Bolasie,66
Algeria,South Africa,South Africa,Thuso Phala,51
Algeria,South Africa,Algeria,Thulani Hlatshwayo,67
Algeria,South Africa,Algeria,Faouzi Ghoulam,72
Algeria,South Africa,Algeria,Islam Slimani,83
Ghana,Senegal,Ghana,André Ayew,14
Ghana,Senegal,Senegal,Mame Biram Diouf,58
Ghana,Senegal,Senegal,Moussa Sow,90
Iran,United Arab Emirates,Iran,Reza Ghoochannejhad,90
Qatar,Bahrain,Bahrain,Sayed Dhiya Saeed,34
Qatar,Bahrain,Qatar,Hassan Al-Haydos,68
Qatar,Bahrain,Bahrain,Sayed Jaafar Ahmed,82
Iraq,Palestine,Iraq,Younis Mahmoud,48
Iraq,Palestine,Iraq,Ahmed Yasin Ghani,88
Ivory Coast,Guinea,Guinea,Mohamed Yattara,36
Ivory Coast,Guinea,Ivory Coast,Seydou Doumbia,72
Japan,Jordan,Japan,Keisuke Honda,24
Japan,Jordan,Japan,Shinji Kagawa,82
Mali,Cameroon,Mali,Sambou Yatabaré,71
Mali,Cameroon,Cameroon,Ambroise Oyongo,84
Gabon,Congo,Congo,Prince Oniangué,48
Australia,China PR,Australia,Tim Cahill,48
Australia,China PR,Australia,Tim Cahill,65
South Korea,Uzbekistan,South Korea,Son Heung-min,104
